,Product key,Product name,explantion,user Evaluate,,
,1,ザ・マッカラン,ザ・マッカランは「シングルモルトスコッチの代名詞」と言っても過言でない代表的な銘柄です！香り高く、味も深みがありその高級感ある味わいがマッカラン最大の特徴！「シングルモルトのロールスロイス」と言われています！,,,
,2,ザ・グレンリベット,ザ・グレンリベットはスコッチウイスキーの政府公認第一号！それゆえ「スコッチウイスキーの父」と呼ばれるウイスキー工場です！ウイスキー初心者の方にも絶対一度は飲んでいただきたいウイスキー！グレンリベットの味は飲みやすくいたってシンプル！ですが、じっくり味わえば麦本来のうまみ、さわやかな樽の香りを感じることができます！すべてのシングルモルトウイスキーの味の基準となるお酒です！,,,
,3,グレンフィディック,グレンフィディックは昔から日本でも知られていたシングルモルトウイスキーの定番！日本でシングルモルトというジャンルが有名でないころからあったお酒で、シングルモルトを広めたのはこのお酒のおかげと言ってもいいくらいの功労者！グレンフィディックは他の銘柄に比べリーズナブルなのでとりあえず何か飲んでみたい・・・と思うならまずはこれから始めてもいいでしょう！,,,
,4,バルヴェニー,"バルヴェニーはグレンフィディックの第二工場！！しかしながら風味は全然別！ 上質な香りに甘み、苦み、渋みがギュッと詰まった奥行きのある深い味わい！これは素晴らしいお酒です！12年でも十分美味しいですが、熟成年数を増すごとに違う味わいがあります！時間をかけてゆっくり飲んでみてください！
",,,
,5,アベラワー,"数あるシングルモルト蒸留所ですが、abc順で並べるとアベラワーが一番！ アベラワーはシェリー樽由来の特徴を持つウイスキーで、バニラのような甘みを感じる美味しい銘柄！熟成を増すとそこに深みが増します！ウイスキー初心者や香りが強すぎるウイスキーが苦手な人にもおすすめできます！
",,,
,6,グレングラント,日本ではそこまで知られていませんが、世界的にみるとたいへん人気のある銘柄！特にイタリア市場での人気が高いそうです！グレングラントはリーズナブルでお求め安い金額！風味は強くなく、サッパリとして飲みやすい！飲みやす過ぎていくらでも飲めそうなウイスキーです！へんなしつこさがないので普段飲みの銘柄としてはこれが一番おすすめです！,,,
,7,クラガンモア,たくさんのウイスキー工場の立ち並ぶスペイサイド地区にある銘柄ですが、このお酒はちょっと特別！どれも上品で飲みやすいスペイサイド地区のウイスキーですが、このクラガンモアは風味の複雑さが別格！飲みやすいだけじゃない、スパイシーさのあるこのお酒の美味しさが分かるようになれば、ウイスキー飲みとして１レベル上がった！そう思える銘柄です！,,,
,8,グレンファークラス,グレンファークラスは、昔から根強いファンが多いウイスキー蒸留所！それくらい他の銘柄では替わりが務まらない特別なウイスキーです！シェリー樽熟成の重厚でパワフルなシングルモルト！グラスに注いですぐはアルコールのにおいが強いですが、しばらく空気と触れるとまろやかになってきます！時間をかけてゆっくり飲むときにはやはりこういう銘柄がおすすめです！,,,
,9,グレンエルギン,ブレンデッドウイスキーであるホワイトホースのキーモルトとして知られるグレンエルギンですが、ホワイトホースのイメージとは全然違います！スモーキーフレーバーのあるホワイトホースからは想像できない、癖がなく飲みやすいウイスキーです！少し加水すると強い甘みと華やかな香りがでてきてさらに美味しいです！,,,
,10,グレンマレイ,ウイスキー熟成用の樽にシャルドネ白ワインの空き樽を使ったちょっと変わったシングルモルト！白ワインの樽と言うのは他ではあまり聞きませんが、これがかなりＧＯＯＤ！爽やかでスッキリ飲めるウイスキーです！特にハイボールとは相性抜群！炭酸を加えることで白ワイン樽の香りがとても華やかに立ち、まるでシャンパンのような仕上がりになります！！,,,
,11,ロングモーン,ロングモーンはあまり知られていない銘柄ですが、シングルモルト通なら必ず名前を挙げる美味しいウイスキー銘柄の一つ！以前は16年などが流通していましたが、年数表示があるタイプは最近入手困難！！今流通しているのはこのディスティラーチョイス！ちょっと若い感じはありますが、流石ロングモーンと言ったできですね！好きな方はボトラーズブランドにも目を向けてみてはいかがでしょうか？,,,
